DATA,VALOR,variacao_diaria_bruto,variacao_diaria_perc
2025-01-02,6.2080,,
2025-01-03,6.1557,-0.05,-0.01
2025-01-06,6.1113,-0.04,-0.01
2025-01-07,6.0735,-0.04,-0.01
2025-01-08,6.1315,0.06,0.01
2025-01-09,6.0890,-0.04,-0.01
2025-01-10,6.0959,0.01,0.0
2025-01-13,6.1073,0.01,0.0
2025-01-14,6.0665,-0.04,-0.01
2025-01-15,6.0371,-0.03,-0.0
2025-01-16,6.0316,-0.01,-0.0
2025-01-17,6.0603,0.03,0.0
2025-01-20,6.0492,-0.01,-0.0
2025-01-21,6.0434,-0.01,-0.0
2025-01-22,5.9668,-0.08,-0.01
2025-01-23,5.9393,-0.03,-0.01
2025-01-24,5.8919,-0.05,-0.01
2025-01-27,5.9266,0.03,0.01
2025-01-28,5.8924,-0.03,-0.01
2025-01-29,5.8590,-0.03,-0.01
2025-01-30,5.9000,0.04,0.01
2025-01-31,5.8295,-0.07,-0.01
2025-02-03,5.8681,0.04,0.01
2025-02-04,5.7921,-0.08,-0.01
2025-02-05,5.7991,0.01,0.0
2025-02-06,5.7850,-0.01,-0.0
2025-02-07,5.7551,-0.03,-0.01
2025-02-10,5.7802,0.03,0.01
2025-02-11,5.7782,0.00,0.0
2025-02-12,5.7705,-0.01,-0.0
2025-02-13,5.7782,0.01,0.0
2025-02-14,5.7277,-0.05,-0.01
2025-02-17,5.7099,-0.02,-0.0
2025-02-18,5.6973,-0.01,-0.0
2025-02-19,5.7081,0.01,0.0
2025-02-20,5.7013,-0.01,-0.0
2025-02-21,5.7021,0.00,0.0
2025-02-24,5.7252,0.02,0.0
2025-02-25,5.7773,0.05,0.01
2025-02-26,5.7751,0.00,0.0
2025-02-27,5.8222,0.05,0.01
2025-02-28,5.8482,0.03,0.01
2025-03-05,5.7908,-0.06,-0.01
2025-03-06,5.7483,-0.04,-0.01
2025-03-07,5.7682,0.02,0.0
2025-03-10,5.7924,0.02,0.0
2025-03-11,5.8341,0.04,0.01
2025-03-12,5.8262,-0.01,-0.0
2025-03-13,5.8125,-0.01,-0.0
2025-03-14,5.7413,-0.07,-0.01
2025-03-17,5.7076,-0.03,-0.01
2025-03-18,5.6846,-0.02,-0.0
2025-03-19,5.6651,-0.02,-0.0
2025-03-20,5.6622,0.00,0.0
2025-03-21,5.7235,0.06,0.01
2025-03-24,5.7397,0.02,0.0
2025-03-25,5.6986,-0.04,-0.01
2025-03-26,5.7292,0.03,0.01
2025-03-27,5.7468,0.02,0.0
2025-03-28,5.7654,0.02,0.0
2025-03-31,5.7416,-0.02,-0.0
2025-04-01,5.7045,-0.04,-0.01
2025-04-02,5.6918,-0.01,-0.0
2025-04-03,5.6062,-0.09,-0.02
2025-04-04,5.7771,0.17,0.03
2025-04-07,5.8871,0.11,0.02
2025-04-08,5.9362,0.05,0.01
2025-04-09,6.0599,0.12,0.02
2025-04-10,5.9109,-0.15,-0.02
2025-04-11,5.8731,-0.04,-0.01
2025-04-14,5.8419,-0.03,-0.01
2025-04-15,5.8701,0.03,0.01
2025-04-16,5.8802,0.01,0.0
2025-04-17,5.8553,-0.02,-0.0
2025-04-22,5.7490,-0.11,-0.02
2025-04-23,5.6874,-0.06,-0.01
2025-04-24,5.6732,-0.01,-0.0
2025-04-25,5.6840,0.01,0.0
2025-04-28,5.6675,-0.02,-0.0
