DATA,MES,media_mensal,variacao_mensal_bruto,variacao_mensal_perc
2025-01-01,1,6.11,,
2025-01-01,1,5.93,-0.18,-0.03
2025-01-01,1,5.9,-0.03,-0.01
2025-01-01,1,6.06,0.16,0.03
2025-01-01,1,5.89,-0.17,-0.03
2025-01-01,1,5.94,0.05,0.01
2025-01-01,1,5.83,-0.11,-0.02
2025-01-01,1,6.21,0.38,0.07
2025-01-01,1,6.04,-0.16,-0.03
2025-01-01,1,6.11,0.06,0.01
2025-01-01,1,6.16,0.05,0.01
2025-01-01,1,6.07,-0.08,-0.01
2025-01-01,1,6.09,0.02,0.0
2025-01-01,1,6.13,0.04,0.01
2025-01-01,1,5.89,-0.24,-0.04
2025-01-01,1,5.97,0.07,0.01
2025-01-01,1,6.07,0.1,0.02
2025-01-01,1,6.1,0.03,0.0
2025-01-01,1,5.86,-0.24,-0.04
2025-01-01,1,6.03,0.17,0.03
2025-01-01,1,6.05,0.02,0.0
2025-01-01,1,6.04,-0.01,-0.0
2025-02-01,2,5.73,-0.31,-0.05
2025-02-01,2,5.71,-0.02,-0.0
2025-02-01,2,5.85,0.14,0.02
2025-02-01,2,5.76,-0.09,-0.02
2025-02-01,2,5.78,0.02,0.0
2025-02-01,2,5.73,-0.05,-0.01
2025-02-01,2,5.78,0.05,0.01
2025-02-01,2,5.79,0.01,0.0
2025-02-01,2,5.7,-0.09,-0.02
2025-02-01,2,5.79,0.08,0.01
2025-02-01,2,5.78,-0.0,-0.0
2025-02-01,2,5.78,-0.0,-0.0
2025-02-01,2,5.78,-0.0,-0.0
2025-02-01,2,5.77,-0.01,-0.0
2025-02-01,2,5.87,0.1,0.02
2025-02-01,2,5.8,-0.07,-0.01
2025-02-01,2,5.71,-0.09,-0.02
2025-02-01,2,5.7,-0.01,-0.0
2025-02-01,2,5.7,-0.0,-0.0
2025-02-01,2,5.82,0.12,0.02
2025-03-01,3,5.74,-0.08,-0.01
2025-03-01,3,5.79,0.05,0.01
2025-03-01,3,5.79,0.0,0.0
2025-03-01,3,5.77,-0.02,-0.0
2025-03-01,3,5.74,-0.03,-0.01
2025-03-01,3,5.7,-0.04,-0.01
2025-03-01,3,5.74,0.04,0.01
2025-03-01,3,5.75,0.01,0.0
2025-03-01,3,5.77,0.02,0.0
2025-03-01,3,5.71,-0.06,-0.01
2025-03-01,3,5.83,0.13,0.02
2025-03-01,3,5.81,-0.02,-0.0
2025-03-01,3,5.75,-0.07,-0.01
2025-03-01,3,5.72,-0.02,-0.0
2025-03-01,3,5.73,0.01,0.0
2025-03-01,3,5.68,-0.04,-0.01
2025-03-01,3,5.83,0.14,0.02
2025-03-01,3,5.67,-0.16,-0.03
2025-03-01,3,5.66,-0.0,-0.0
2025-04-01,4,5.66,-0.0,-0.0
2025-04-01,4,5.94,0.28,0.05
2025-04-01,4,5.86,-0.08,-0.01
2025-04-01,4,5.67,-0.19,-0.03
2025-04-01,4,5.87,0.21,0.04
2025-04-01,4,5.68,-0.19,-0.03
2025-04-01,4,5.7,0.02,0.0
2025-04-01,4,5.61,-0.1,-0.02
2025-04-01,4,5.91,0.3,0.05
2025-04-01,4,6.06,0.15,0.03
2025-04-01,4,5.67,-0.39,-0.06
2025-04-01,4,5.75,0.08,0.01
2025-04-01,4,5.78,0.03,0.01
2025-04-01,4,5.69,-0.09,-0.02
2025-04-01,4,5.87,0.18,0.03
2025-04-01,4,5.84,-0.03,-0.01
2025-04-01,4,5.88,0.04,0.01
2025-04-01,4,5.89,0.01,0.0
2025-04-01,4,5.65,-0.24,-0.04
2025-04-01,4,5.69,0.05,0.01
2025-05-01,5,5.69,0.0,0.0
2025-05-01,5,5.66,-0.04,-0.01
2025-05-01,5,5.65,-0.0,-0.0
2025-05-01,5,5.69,0.04,0.01
2025-05-01,5,5.63,-0.07,-0.01
2025-05-01,5,5.64,0.01,0.0
2025-05-01,5,5.74,0.1,0.02
2025-05-01,5,5.66,-0.08,-0.01
2025-05-01,5,5.64,-0.02,-0.0
2025-05-01,5,5.68,0.04,0.01
2025-05-01,5,5.71,0.03,0.01
2025-05-01,5,5.65,-0.06,-0.01
2025-05-01,5,5.66,0.01,0.0
2025-05-01,5,5.69,0.03,0.01
2025-05-01,5,5.72,0.03,0.01
2025-05-01,5,5.65,-0.07,-0.01
2025-05-01,5,5.66,0.01,0.0
2025-05-01,5,5.61,-0.05,-0.01
2025-05-01,5,5.66,0.05,0.01
2025-05-01,5,5.63,-0.03,-0.01
2025-05-01,5,5.69,0.05,0.01
